arrival_time,event_time,updateId
1692440165909.1465,1692440165070,3180680257352
1692440165909.1465,1692440165070,3180680257496
1692440165910.1487,1692440165070,3180680257618
1692440165911.1477,1692440165070,3180680257644
1692440165912.1467,1692440165071,3180680258026
1692440165912.1467,1692440165071,3180680258148
1692440165913.1462,1692440165071,3180680258364
1692440165914.1462,1692440165073,3180680258703
1692440165914.1462,1692440165073,3180680258768
1692440165915.1465,1692440165073,3180680258866
1692440165916.147,1692440165073,3180680258908
1692440165916.147,1692440165074,3180680258959
1692440165917.15,1692440165074,3180680258971
1692440165918.1494,1692440165075,3180680259006
1692440165918.1494,1692440165077,3180680259266
1692440165919.1475,1692440165083,3180680259750
1692440165920.147,1692440165084,3180680260034
1692440165921.155,1692440165089,3180680260672
1692440165922.152,1692440165091,3180680260852
1692440165923.1516,1692440165096,3180680261362
1692440165924.1519,1692440165096,3180680261370
1692440165925.15,1692440165110,3180680262438
1692440165925.15,1692440165110,3180680262545
1692440165926.1472,1692440165113,3180680262641
1692440165926.1472,1692440165113,3180680262815
1692440165928.148,1692440165117,3180680263023
1692440165929.1482,1692440165119,3180680263289
1692440165931.152,1692440165123,3180680263607
1692440165932.1523,1692440165145,3180680264774
1692440165934.1482,1692440165147,3180680264802
1692440165937.1501,1692440165147,3180680264841
1692440165939.1543,1692440165150,3180680264899
1692440165941.1523,1692440165150,3180680264909
1692440165943.1487,1692440165163,3180680265594
1692440165944.1494,1692440165167,3180680265820
1692440165945.1538,1692440165175,3180680266359
1692440165947.1487,1692440165176,3180680266605
1692440165948.149,1692440165178,3180680266718
1692440165949.1494,1692440165186,3180680267149
1692440165950.1494,1692440165188,3180680267198
1692440165952.1514,1692440165209,3180680268026
1692440165953.1511,1692440165209,3180680268047
1692440165955.1567,1692440165229,3180680268657
1692440165956.155,1692440165231,3180680268798
1692440165958.1504,1692440165235,3180680268852
1692440165960.153,1692440165235,3180680268859
1692440165961.1533,1692440165235,3180680268875
1692440165963.1506,1692440165235,3180680268881
1692440165964.1548,1692440165235,3180680268937
1692440165966.154,1692440165237,3180680268967
1692440165969.1519,1692440165250,3180680269585
1692440165971.1553,1692440165283,3180680270530
1692440165973.157,1692440165283,3180680270615
1692440165974.1558,1692440165291,3180680270986
1692440165976.1528,1692440165291,3180680271002
1692440165977.1523,1692440165293,3180680271043
1692440165981.1772,1692440165305,3180680271332
1692440165983.1777,1692440165305,3180680271359
1692440165985.1787,1692440165307,3180680271403
1692440165988.1782,1692440165317,3180680271837
1692440165991.1777,1692440165319,3180680271848
1692440165992.1816,1692440165327,3180680272351
1692440165994.4824,1692440165330,3180680272444
1692440165996.4744,1692440165330,3180680272516
1692440166002.4731,1692440165340,3180680273049
1692440166004.4807,1692440165342,3180680273104
1692440166016.4854,1692440165352,3180680273751
1692440166018.475,1692440165352,3180680273780
1692440166024.4753,1692440165364,3180680274192
1692440166026.4766,1692440165366,3180680274249
1692440166037.4758,1692440165378,3180680274650
1692440166039.4792,1692440165378,3180680274688
1692440166051.4773,1692440165384,3180680274883
1692440166053.479,1692440165394,3180680275202
1692440166054.4788,1692440165394,3180680275235
1692440166059.484,1692440165396,3180680275294
1692440166061.483,1692440165397,3180680275342
1692440166068.4832,1692440165407,3180680275539
1692440166072.4817,1692440165413,3180680275760
1692440166078.7866,1692440165416,3180680275856
1692440166085.8699,1692440165424,3180680276033
1692440166096.4155,1692440165434,3180680276352
1692440166098.4382,1692440165436,3180680276418
1692440166107.4343,1692440165448,3180680276732
1692440166125.441,1692440165464,3180680277114
1692440166133.4395,1692440165474,3180680277360
1692440166138.4175,1692440165478,3180680277422
1692440166149.4363,1692440165489,3180680277694
1692440166150.4382,1692440165491,3180680277733
1692440166164.4429,1692440165503,3180680278128
1692440166173.447,1692440165514,3180680278500
1692440166184.4617,1692440165524,3180680278758
1692440166185.4631,1692440165524,3180680278812
1692440166197.4941,1692440165535,3180680279050
1692440166199.659,1692440165535,3180680279092
1692440166208.0752,1692440165545,3180680279353
1692440166209.0754,1692440165547,3180680279409
1692440166210.0784,1692440165550,3180680279484
1692440166217.6038,1692440165558,3180680279668
1692440166219.6223,1692440165560,3180680279792
1692440166226.6074,1692440165566,3180680279945
1692440166227.6135,1692440165566,3180680279958
1692440166228.6091,1692440165566,3180680279967
1692440166234.6343,1692440165575,3180680280217
1692440166244.953,1692440165585,3180680280365
1692440166254.6404,1692440165595,3180680280767
1692440166256.6418,1692440165595,3180680280785
1692440166266.5828,1692440165607,3180680281102
1692440166268.6099,1692440165609,3180680281166
1692440166279.1309,1692440165619,3180680281546
1692440166281.1338,1692440165620,3180680281696
1692440166282.1355,1692440165621,3180680281833
1692440166290.146,1692440165630,3180680282247
1692440166292.1516,1692440165632,3180680282472
1692440166293.6638,1692440165632,3180680282603
1692440166301.6355,1692440165642,3180680283098
1692440166309.436,1692440165650,3180680283425
1692440166309.436,1692440165650,3180680283445
1692440166329.2893,1692440165669,3180680283946
1692440166334.6353,1692440165674,3180680284072
1692440166344.6377,1692440165684,3180680284309
1692440166346.6372,1692440165687,3180680284373
1692440166355.6355,1692440165695,3180680284543
1692440166356.6348,1692440165697,3180680284598
1692440166368.636,1692440165708,3180680284828
1692440166374.4663,1692440165715,3180680285004
1692440166377.4731,1692440165717,3180680285074
1692440166385.6523,1692440165725,3180680285247
1692440166388.2332,1692440165729,3180680285329
1692440166403.7427,1692440165743,3180680285835
1692440166404.7395,1692440165746,3180680285869
1692440166406.7378,1692440165746,3180680285879
1692440166407.7397,1692440165746,3180680285888
1692440166417.9885,1692440165757,3180680286218
1692440166421.988,1692440165762,3180680286277
1692440166431.9895,1692440165770,3180680286474
1692440166433.9907,1692440165772,3180680286514
1692440166449.7676,1692440165789,3180680286938
1692440166451.7666,1692440165789,3180680286956
1692440166654.308,1692440165994,3180680291351
1692440166689.3196,1692440166023,3180680292120
1692440166692.316,1692440166032,3180680292268
1692440166710.8347,1692440166050,3180680292592
1692440166719.8337,1692440166058,3180680292755
1692440166721.836,1692440166062,3180680292890
1692440166737.8374,1692440166071,3180680293083
1692440166745.8389,1692440166086,3180680293317
1692440166752.8389,1692440166090,3180680293532
1692440166755.8364,1692440166096,3180680293823
1692440166780.8442,1692440166119,3180680294561
1692440166783.8403,1692440166125,3180680294785
1692440166808.3696,1692440166146,3180680295263
1692440166841.3665,1692440166181,3180680296136
1692440166850.3657,1692440166190,3180680296371
1692440166868.3687,1692440166208,3180680296829
1692440166877.3723,1692440166217,3180680297284
1692440166949.0127,1692440166287,3180680299211
1692440167023.658,1692440166364,3180680300983
1692440167027.654,1692440166364,3180680301119
1692440167029.6597,1692440166365,3180680301158
1692440167032.6514,1692440166373,3180680301438
1692440167034.654,1692440166373,3180680301442
1692440167036.662,1692440166377,3180680301501
1692440167040.673,1692440166381,3180680301606
1692440167074.0571,1692440166413,3180680302601
1692440167075.0583,1692440166415,3180680302628
1692440167078.0574,1692440166415,3180680302645
1692440167094.145,1692440166433,3180680303006
1692440167105.7004,1692440166446,3180680303352
1692440167117.0017,1692440166457,3180680303668
1692440167120.0022,1692440166457,3180680303685
1692440167130.9028,1692440166471,3180680304009
1692440167136.9055,1692440166476,3180680304097
1692440167141.781,1692440166480,3180680304189
1692440167156.7773,1692440166491,3180680304460
1692440167157.7769,1692440166493,3180680304547
1692440167163.785,1692440166503,3180680304809
1692440167177.7769,1692440166518,3180680305102
1692440167180.78,1692440166520,3180680305158
1692440167225.3044,1692440166564,3180680306343
1692440167233.3022,1692440166571,3180680306575
1692440167234.3022,1692440166571,3180680306576
1692440167237.306,1692440166575,3180680306664
1692440167241.3071,1692440166577,3180680306705
1692440167242.3066,1692440166579,3180680306722
1692440167279.3093,1692440166618,3180680307837
1692440167317.8362,1692440166656,3180680308982
1692440167324.8372,1692440166664,3180680309223
1692440167334.841,1692440166675,3180680309615
1692440167441.167,1692440166779,3180680311785
1692440167449.1604,1692440166787,3180680312126
1692440167462.1602,1692440166797,3180680312459
1692440167596.5825,1692440166937,3180680315427
